28080000,1692300,1692500,1692100,1692100,52300
28140000,1691900,1691900,1691500,1691800,15000
28200000,1691900,1691900,1691800,1691800,5100
28260000,1691800,1691800,1691600,1691600,3200
28320000,1691500,1691800,1691500,1691800,7700
28380000,1691500,1691500,1691500,1691500,500
28440000,1691500,1691500,1690700,1690900,11800
28500000,1691100,1691100,1690700,1691000,43600
28560000,1691100,1691100,1690900,1691000,12700
28620000,1691100,1691100,1691000,1691000,2600
28680000,1690900,1690900,1690900,1690900,100
28740000,1690900,1690900,1690300,1690700,17626
28800000,1690500,1690800,1690500,1690700,42600
28860000,1690900,1691000,1690500,1690500,12000
28920000,1690300,1690400,1690300,1690400,71300
28980000,1690400,1690500,1690400,1690400,500
29040000,1690400,1690400,1689900,1690000,13100
29100000,1690100,1690100,1689700,1689700,24960
29160000,1689900,1689900,1689700,1689700,4800
29220000,1689900,1689900,1689900,1689900,300
29280000,1689800,1690300,1689800,1690200,26520
29400000,1690000,1690000,1689300,1689400,176200
29460000,1689500,1689500,1689100,1689100,26500
29520000,1689300,1689500,1689300,1689500,3273
29580000,1689500,1689500,1689100,1689100,21150
29640000,1689000,1689000,1688900,1689000,5350
29700000,1689100,1689200,1689100,1689200,10100
29760000,1689200,1689200,1688800,1689100,13700
29820000,1688800,1688800,1688800,1688800,200
29880000,1689100,1689100,1689000,1689000,3985
29940000,1689000,1689100,1688800,1689100,1355
30000000,1689000,1689300,1688900,1689300,40325
30060000,1689200,1689500,1689100,1689100,13930
30120000,1689000,1689000,1689000,1689000,2800
30180000,1688900,1689100,1688300,1689000,67550
30240000,1688900,1688900,1688800,1688800,2400
30300000,1688800,1689100,1688800,1689100,5200
30360000,1689000,1689100,1688800,1688800,2200
30420000,1689100,1689100,1688800,1688800,22900
30480000,1689100,1689100,1689000,1689000,10000
30540000,1688800,1689000,1688800,1689000,300
30600000,1689000,1689100,1689000,1689100,1700
30660000,1689000,1689000,1688900,1688900,2551
30720000,1688800,1688800,1688300,1688300,13250
30780000,1688300,1688300,1688000,1688100,11775
30840000,1688300,1688300,1688000,1688000,6400
30900000,1688000,1688300,1688000,1688300,2300
30960000,1688100,1688100,1688100,1688100,300
31020000,1688100,1688100,1688100,1688100,2000
31080000,1688200,1688500,1688100,1688500,8800
31140000,1688600,1688800,1688500,1688600,33300
31200000,1688600,1688600,1688300,1688300,8100
31260000,1688300,1688700,1688300,1688700,4500
31320000,1688600,1688800,1688600,1688600,6600
31380000,1688500,1688500,1688500,1688500,1300
31440000,1688800,1689100,1688700,1689100,19790
31500000,1689000,1689200,1689000,1689200,5750
31560000,1689200,1689300,1689100,1689300,16402
31620000,1689200,1689300,1689200,1689300,14200
31680000,1689200,1689300,1689200,1689300,4704
31740000,1689200,1689400,1689200,1689300,20920
31800000,1689400,1689400,1689200,1689300,14490
31860000,1689100,1689300,1689000,1689300,12879
31920000,1689300,1689300,1688500,1688500,24651
