19980602 00:00,1100000,1103400,1091600,1095900,6477900
19980603 00:00,1098800,1101900,1082200,1085000,6262700
19980604 00:00,1082500,1100600,1080600,1099100,6317300
19980605 00:00,1103800,1118800,1098800,1118100,8140300
19980608 00:00,1119400,1124700,1116600,1118800,4056700
19980609 00:00,1117200,1124200,1114100,1122800,2680400
19980610 00:00,1116300,1130600,1112500,1113800,6336300
19980611 00:00,1114400,1118800,1092800,1096600,7897100
19980612 00:00,1098800,1104400,1082500,1102500,9700700
19980615 00:00,1088100,1099100,1078800,1080000,9754800
19980616 00:00,1084100,1091600,1077500,1090600,7245000
19980617 00:00,1101600,1117800,1099400,1112500,11964800
19980618 00:00,1111900,1114400,1107500,1111600,3749600
19980619 00:00,1110600,1112300,1096300,1100300,3538200
19980622 00:00,1102500,1110600,1100600,1103800,5357100
19980623 00:00,1110900,1121900,1110000,1119700,5205600
19980624 00:00,1121600,1136900,1116100,1134700,8222700
19980625 00:00,1139100,1144700,1128100,1130000,5837700
19980626 00:00,1133100,1138400,1131300,1134100,4753900
19980629 00:00,1142500,1146900,1138000,1138900,6537200
19980630 00:00,1139100,1141900,1130600,1133600,4126100
19980701 00:00,1140600,1149400,1136300,1149400,3241200
19980702 00:00,1147200,1148800,1142500,1146300,3432900
19980706 00:00,1147800,1158400,1145600,1157800,3042100
19980707 00:00,1159800,1161300,1152800,1155600,4847300
19980708 00:00,1158800,1169400,1157500,1168100,6773100
19980709 00:00,1162800,1167200,1156300,1160000,7258600
19980710 00:00,1160300,1169100,1150600,1165300,7739800
19980713 00:00,1165600,1168400,1160600,1167500,6846100
19980714 00:00,1169400,1181600,1169400,1178100,7119900
19980715 00:00,1180600,1182800,1174400,1175600,4908000
19980716 00:00,1176900,1185900,1170600,1184400,6239600
19980717 00:00,1186300,1190000,1183100,1187500,3478600
19980720 00:00,1187500,1192300,1179400,1185000,2238300
19980721 00:00,1190000,1190000,1162800,1165300,5107200
19980722 00:00,1163400,1195900,1155300,1166300,10611500
19980723 00:00,1163100,1168400,1138800,1141900,14881000
19980724 00:00,1149700,1150900,1128800,1141600,11706000
19980727 00:00,1136300,1150000,1128400,1149800,9360300
19980728 00:00,1144400,1146600,1118800,1133100,13422500
19980729 00:00,1137200,1141300,1122500,1126600,6932100
19980730 00:00,1136300,1145900,1134100,1143400,6617400
19980731 00:00,1143400,1145000,1113100,1120600,7679600
19980803 00:00,1117800,1124200,1110300,1113800,10349100
19980804 00:00,1122200,1122200,1072500,1076100,14468800
19980805 00:00,1079400,1088800,1055900,1081600,21457200
19980806 00:00,1081300,1095200,1075600,1090900,13163000
19980807 00:00,1096900,1105900,1084700,1090300,11718400
19980810 00:00,1087500,1096600,1081900,1085900,6055400
19980811 00:00,1067800,1074400,1055000,1070600,14385600
19980812 00:00,1077500,1088100,1075000,1085000,10997500
19980813 00:00,1088100,1096600,1076300,1076400,8529600
19980814 00:00,1083400,1087200,1057800,1064800,7995800
19980817 00:00,1060000,1089400,1055000,1085000,11035000
19980818 00:00,1090000,1105900,1087800,1102500,7245000
19980819 00:00,1110900,1110900,1096300,1100000,6054300
19980820 00:00,1096900,1104100,1091600,1092500,7590600
19980821 00:00,1081900,1087200,1055000,1083800,16427600
19980824 00:00,1092500,1099400,1083100,1090600,7902200
19980825 00:00,1103800,1112500,1086400,1095000,9623400
19980826 00:00,1082800,1096300,1077500,1085000,9090300
19980827 00:00,1070000,1078400,1038900,1042500,24042400
19980828 00:00,1049700,1057200,1021600,1030000,23196400
19980831 00:00,1037500,1040200,950000,962500,22799800
19980901 00:00,960600,1005600,936300,996900,24391500
19980902 00:00,998100,1017500,987800,990000,13984400
19980903 00:00,976300,993800,966900,985200,16873300
19980904 00:00,994400,998100,957800,976300,16414800
19980908 00:00,1008800,1029700,998100,1025900,14307900
19980909 00:00,1027500,1031300,1004800,1007500,12026000
19980910 00:00,984400,993400,968100,982500,19666100
19980911 00:00,981900,1015000,970000,1012500,20203300
19980914 00:00,1028800,1044500,1020900,1031600,10318300
19980915 00:00,1028800,1043100,1022800,1042000,8166200
19980916 00:00,1047500,1052500,1031600,1050000,11125300
19980917 00:00,1022500,1030300,1017800,1022300,12549700
19980918 00:00,1023800,1024100,1010900,1019700,6667900
19980921 00:00,996300,1034100,989400,1021900,8552400
19980922 00:00,1035000,1036600,1021600,1030000,7070200
19980923 00:00,1038800,1070000,1037800,1066300,12804500
19980924 00:00,1063100,1068100,1032500,1043800,10659300
19980925 00:00,1031300,1054200,1026300,1043000,10051500
19980928 00:00,1053100,1063100,1042500,1049100,8368600
19980929 00:00,1053800,1059400,1033800,1049400,10488400
19980930 00:00,1035000,1043100,1013800,1018400,7537300
19981001 00:00,1000300,1015500,980900,986300,12833400
19981002 00:00,988800,1008800,972200,1003100,14014100
19981005 00:00,995900,1000000,963400,990000,12408900
19981006 00:00,1007500,1012800,975300,985300,12216900
19981007 00:00,986300,1000300,957500,972200,13942400
19981008 00:00,945600,967500,922200,962200,20019400
19981009 00:00,970000,995600,940600,986300,11865900
19981012 00:00,1006300,1014400,996900,997800,9127600
19981013 00:00,995600,1004100,987500,995300,5916200
19981014 00:00,989400,1018100,988400,1005000,8056200
19981015 00:00,1001300,1072500,999400,1050300,19735400
19981016 00:00,1061300,1067500,1050000,1056600,16305900
19981019 00:00,1056900,1068100,1055000,1063400,7627400
19981020 00:00,1075600,1088000,1060900,1065000,14236900
19981021 00:00,1068800,1076300,1058800,1071300,8997900
19981022 00:00,1067800,1084700,1061600,1080000,8012900
19981023 00:00,1079700,1080000,1067800,1071300,6188800
19981026 00:00,1077200,1085600,1067800,1075500,5654900
19981027 00:00,1084400,1089700,1062800,1066300,9865800
19981028 00:00,1065600,1078100,1060300,1067800,5499700
19981029 00:00,1070900,1089700,1066300,1089700,8847200
19981030 00:00,1101300,1109100,1095000,1100000,9498800
19981102 00:00,1108100,1117500,1101900,1114800,6351000
19981103 00:00,1115900,1118100,1107500,1111300,6573900
19981104 00:00,1124700,1130900,1110900,1118400,7788100
19981105 00:00,1115300,1138100,1111300,1137300,6686200
19981106 00:00,1134700,1145000,1133100,1142800,5136100
19981109 00:00,1139400,1142500,1125000,1131400,5908800
19981110 00:00,1130000,1139400,1125000,1126900,9142100
19981111 00:00,1138100,1140600,1118900,1123800,10735000
19981112 00:00,1123100,1131300,1116900,1120300,5396300
19981113 00:00,1122200,1130600,1121300,1127700,5531900
19981116 00:00,1142200,1143600,1128900,1138400,5934200
19981117 00:00,1136600,1156300,1130000,1143400,8944500
19981118 00:00,1143100,1149400,1135000,1147500,4538000
19981119 00:00,1152800,1159100,1146300,1155000,5115600
19981120 00:00,1163600,1167500,1158400,1166300,5351500
19981123 00:00,1174700,1192200,1171600,1191600,6442400
19981124 00:00,1190000,1196600,1184500,1186900,5121600
19981125 00:00,1189400,1191900,1181600,1188800,4268500
19981127 00:00,1194700,1197200,1190000,1195000,4562000
19981130 00:00,1190200,1193800,1166600,1166900,7991700
19981201 00:00,1161300,1180300,1152200,1178100,8773600
19981202 00:00,1172200,1179100,1160000,1175000,7322100
19981203 00:00,1172500,1183100,1151900,1152800,11737800
19981204 00:00,1166300,1188800,1155900,1179700,10616800
19981207 00:00,1180600,1195300,1180000,1192500,4105700
19981208 00:00,1185300,1197500,1175000,1184700,9996400
19981209 00:00,1186900,1189700,1178800,1188100,5259600
19981210 00:00,1188400,1188400,1167200,1168100,5844400
19981211 00:00,1164400,1173400,1155600,1170600,8669100
19981214 00:00,1161600,1164100,1139100,1144700,9276400
19981215 00:00,1146900,1167500,1145300,1166300,9482100
19981216 00:00,1171300,1171300,1157500,1164100,7183500
19981217 00:00,1172200,1185600,1170200,1185000,6720200
19981218 00:00,1183100,1191300,1178800,1190200,4027900
19981221 00:00,1192500,1213400,1190000,1203100,8465700
19981222 00:00,1204100,1212200,1191900,1205300,5581100
19981223 00:00,1211900,1231900,1208100,1228100,7558200
19981224 00:00,1231600,1238800,1222800,1226900,1557500
19981228 00:00,1232500,1233100,1220000,1226300,4031000
19981229 00:00,1227200,1244400,1221300,1243100,3747300
